weather_date,zip_code,city,state,precipitation_mm,max_wind_kmh,max_temp_c,min_temp_c,weather_code,severity
01/01/2025,43215,Columbus,OH,1.1,50.8,2.8,-1.3,73,moderate
01/01/2025,46204,Indianapolis,IN,0.2,56.2,1.9,-0.8,71,moderate
01/01/2025,60601,Chicago,IL,0.1,52.9,0.8,-3,71,moderate
02/01/2025,43215,Columbus,OH,0,46.8,1.8,-2.3,3,moderate
02/01/2025,46204,Indianapolis,IN,0.3,35.3,3.2,-2.7,71,calm
02/01/2025,60601,Chicago,IL,0.2,40,-0.3,-4.2,71,calm
03/01/2025,43215,Columbus,OH,2.4,51.8,0.4,-5.6,73,moderate
03/01/2025,46204,Indianapolis,IN,1.1,44.6,0.9,-6.3,73,moderate
03/01/2025,60601,Chicago,IL,0,49.3,-3,-6.9,3,moderate
04/01/2025,43215,Columbus,OH,0.1,40.7,-5.9,-10.6,71,moderate
04/01/2025,46204,Indianapolis,IN,0,38.2,-3.7,-9.4,3,calm
04/01/2025,60601,Chicago,IL,0,36.7,-5.1,-10.9,3,calm
05/01/2025,43215,Columbus,OH,2.9,23,-4.4,-12,73,calm
05/01/2025,46204,Indianapolis,IN,7,39.6,-4.8,-6.9,73,calm
05/01/2025,60601,Chicago,IL,0.4,43.2,-2.3,-9,71,moderate
06/01/2025,43215,Columbus,OH,7.7,54.7,-2.4,-6.4,75,moderate
06/01/2025,46204,Indianapolis,IN,3.3,54.4,-4,-6.2,73,moderate
06/01/2025,60601,Chicago,IL,3.2,66.2,-0.9,-4.1,73,severe
07/01/2025,43215,Columbus,OH,0,36,-4.5,-10.2,3,calm
07/01/2025,46204,Indianapolis,IN,0,23,-4,-11.6,3,calm
07/01/2025,60601,Chicago,IL,0,36,-4.1,-8.6,3,calm
08/01/2025,43215,Columbus,OH,0.7,30.2,-4.7,-7.8,71,calm
08/01/2025,46204,Indianapolis,IN,0,21.2,-6.7,-11.8,3,calm
08/01/2025,60601,Chicago,IL,0,25.9,-4.1,-10.2,3,calm
09/01/2025,43215,Columbus,OH,0,22,-5.9,-13.1,2,calm
09/01/2025,46204,Indianapolis,IN,0,16.9,-10.1,-18,3,extreme_cold
09/01/2025,60601,Chicago,IL,0,38.5,-3.8,-11.6,3,calm
10/01/2025,43215,Columbus,OH,3.2,19.4,-5.8,-14.8,73,calm
10/01/2025,46204,Indianapolis,IN,7,22.3,-4.6,-13.4,73,calm
10/01/2025,60601,Chicago,IL,4,34.6,-2,-6.6,73,calm
11/01/2025,43215,Columbus,OH,1.5,30.2,-1.8,-8.9,73,calm
11/01/2025,46204,Indianapolis,IN,0.2,29.9,-2.2,-6.1,71,calm
11/01/2025,60601,Chicago,IL,0,28.4,-0.9,-6,3,calm
12/01/2025,43215,Columbus,OH,0,36.4,1.5,-11.9,3,calm
12/01/2025,46204,Indianapolis,IN,0,38.5,0.7,-4.8,3,calm
12/01/2025,60601,Chicago,IL,2.1,49.7,1.5,-4.1,73,moderate
13/01/2025,43215,Columbus,OH,0,30.6,1.5,-11.4,3,calm
13/01/2025,46204,Indianapolis,IN,0,34.2,-1.1,-12.9,3,calm
13/01/2025,60601,Chicago,IL,0,44.6,-4.7,-12.7,3,moderate
14/01/2025,43215,Columbus,OH,0.9,41,-6.1,-16.4,71,extreme_cold
14/01/2025,46204,Indianapolis,IN,0.2,52.2,-5.9,-15.5,71,extreme_cold
14/01/2025,60601,Chicago,IL,1.4,49,-9,-12.9,73,moderate
15/01/2025,43215,Columbus,OH,0,20.5,-9.4,-18.6,3,extreme_cold
15/01/2025,46204,Indianapolis,IN,0,28.1,-7.8,-19.5,3,extreme_cold
15/01/2025,60601,Chicago,IL,0.1,43.2,-8.4,-15.7,71,extreme_cold
16/01/2025,43215,Columbus,OH,1.4,41.4,-1,-11.1,73,moderate
16/01/2025,46204,Indianapolis,IN,0,44.3,0.1,-10.2,3,moderate
16/01/2025,60601,Chicago,IL,0.4,43.2,2.2,-8,71,moderate
17/01/2025,43215,Columbus,OH,0,32,1.6,-5.8,3,calm
17/01/2025,46204,Indianapolis,IN,0.8,37.8,4.1,-5.1,53,calm
17/01/2025,60601,Chicago,IL,0,62.3,5.1,-4.8,3,severe
18/01/2025,43215,Columbus,OH,4.4,40.7,3.7,-1.3,71,moderate
18/01/2025,46204,Indianapolis,IN,6.5,43.9,4,-3.6,75,moderate
18/01/2025,60601,Chicago,IL,0,61.2,3.7,-6.9,3,severe
19/01/2025,43215,Columbus,OH,0.7,46.8,-1.8,-10.2,73,moderate
19/01/2025,46204,Indianapolis,IN,1,39.6,-4,-15.6,73,extreme_cold
19/01/2025,60601,Chicago,IL,0,43.2,-8.1,-16.1,3,extreme_cold
20/01/2025,43215,Columbus,OH,0,46.1,-11.2,-16.9,3,extreme_cold
20/01/2025,46204,Indianapolis,IN,0,32,-12.6,-19.5,3,extreme_cold
20/01/2025,60601,Chicago,IL,0,54,-11.7,-18.5,3,extreme_cold
21/01/2025,43215,Columbus,OH,0.1,39.2,-11.1,-18,71,extreme_cold
21/01/2025,46204,Indianapolis,IN,0,34.9,-13.9,-20.7,3,extreme_cold
21/01/2025,60601,Chicago,IL,0,45.7,-15.4,-21,3,extreme_cold
